DAY,VOLUME
1,6.5268
2,6.5264
3,6.5262
4,6.5263
5,6.5268
6,6.5264
7,6.5261
8,6.5271
9,6.5268
10,6.5266
11,6.5263
12,6.526
13,6.5257
14,6.5254
15,6.5251
16,6.5248
17,6.5245
18,6.5242
19,6.5239
20,6.5236
21,6.5234
22,6.5243
23,6.5278
24,6.5312
25,6.5311
26,6.5307
27,6.5303
28,6.53
29,6.5297
30,6.52935
31,6.529
32,6.5289
33,6.5285
34,6.5282
35,6.5278
36,6.5275
37,6.5291
38,6.5293
39,6.5291
40,6.5288
41,6.5284
42,6.5281
43,6.5286
44,6.5303
45,6.53
46,6.5296
47,6.5293
48,6.5289
49,6.5303
50,6.5301
51,6.5298
52,6.5294
53,6.5291
54,6.5287
55,6.5284
56,6.528
57,6.5277
58,6.5274
59,6.5271
60,6.5267
61,6.5264
62,6.5261
63,6.5258
64,6.5255
65,6.5252
66,6.5249
67,6.5246
68,6.5243
69,6.524
70,6.5237
71,6.5234
72,6.5231
73,6.5228
74,6.5225
75,6.5223
76,6.522
77,6.5217
78,6.5214
79,6.5212
80,6.5209
81,6.5206
82,6.5204
83,6.5201
84,6.5198
85,6.5196
86,6.5193
87,6.5191
88,6.5188
89,6.5186
90,6.5183
91,6.5181
92,6.5179
93,6.5176
94,6.5174
95,6.5171
96,6.5169
97,6.5167
98,6.5164
99,6.5162
100,6.516
101,6.5158
102,6.5167
103,6.5164
104,6.5162
105,6.516
106,6.5157
107,6.5155
108,6.5153
109,6.5151
110,6.5148
111,6.5147
112,6.5145
113,6.5143
114,6.5141
115,6.5139
116,6.5137
117,6.5134
118,6.5132
119,6.5132
120,6.5129
121,6.5127
122,6.5125
123,6.5123
124,6.5121
125,6.5119
126,6.5117
127,6.5115
128,6.5113
129,6.5111
130,6.5109
131,6.5107
132,6.5105
133,6.5103
134,6.5102
135,6.51
136,6.5098
137,6.5096
138,6.5094
139,6.5093
140,6.5095
141,6.5093
142,6.5092
143,6.5095
144,6.5093
145,6.5091
146,6.5089
147,6.5123
148,6.5136
149,6.5134
150,6.5132
151,6.513
152,6.5128
153,6.5126
154,6.5129
155,6.5127
156,6.5128
157,6.5126
158,6.5123
159,6.5121
160,6.5119
161,6.5128
162,6.5129
163,6.5127
164,6.5125
165,6.5122
166,6.512
167,6.5118
168,6.5122
169,6.5124
170,6.513
171,6.5163
172,6.5186
173,6.5183
174,6.5181
175,6.5179
176,6.5255
177,6.5286
178,6.5284
179,6.5282
180,6.528
181,6.5276
182,6.5273
183,6.5277
184,6.5284
185,6.5288
186,6.5284
187,6.5281
188,6.5278
189,6.5274
190,6.5274
191,6.5271
192,6.5268
193,6.5264
194,6.5261
195,6.5263
196,6.526
197,6.5258
198,6.5255
199,6.5253
200,6.5286
201,6.5401
202,6.5422
203,6.5416
204,6.5416
205,6.5411
206,6.5406
207,6.5401
208,6.5401
209,6.5397
210,6.5399
211,6.541
212,6.5404
213,6.5402
214,6.5424
215,6.5442
216,6.5443
217,6.5437
218,6.5432
219,6.5427
220,6.5421
221,6.5416
222,6.5411
223,6.5406
224,6.5401
225,6.5396
226,6.5394
227,6.539
228,6.5385
229,6.5382
230,6.539
231,6.5413
232,6.5411
233,6.5409
234,6.5405
235,6.5401
236,6.5396
237,6.5392
238,6.5392
239,6.5387
240,6.5383
241,6.5388
242,6.5392
243,6.5387
244,6.5383
245,6.5378
246,6.5374
247,6.537
248,6.5365
249,6.5361
250,6.5357
251,6.5352
252,6.5348
253,6.5344
254,6.5348
255,6.5345
256,6.5341
257,6.534
258,6.5338
259,6.5342
260,6.5338
261,6.5334
262,6.533
263,6.5326
264,6.5322
265,6.5318
266,6.5317
267,6.5313
268,6.5318
269,6.5315
270,6.5314
271,6.531
272,6.5306
273,6.5303
274,6.5299
275,6.5296
276,6.5297
277,6.5296
278,6.5299
279,6.5295
280,6.5296
281,6.5292
282,6.5289
283,6.5285
284,6.5282
285,6.5279
286,6.5275
287,6.5272
288,6.5269
289,6.5266
290,6.5263
291,6.5259
292,6.5256
293,6.5253
294,6.5275
295,6.5298
296,6.5297
297,6.5294
298,6.529
299,6.5287
300,6.5283
301,6.528
302,6.5277
303,6.5273
304,6.527
305,6.5267
306,6.5264
307,6.5264
308,6.5261
309,6.5258
310,6.5255
311,6.5255
312,6.5263
313,6.526
314,6.5257
315,6.5254
316,6.5251
317,6.525
318,6.5247
319,6.5244
320,6.5241
321,6.5239
322,6.5236
323,6.5233
324,6.523
325,6.5235
326,6.5262
327,6.526
328,6.5257
329,6.5254
330,6.5254
331,6.5266
332,6.5264
333,6.5261
334,6.5258
335,6.5255
336,6.5278
337,6.5325
338,6.5321
339,6.532
340,6.5319
341,6.5324
342,6.5321
343,6.5317
344,6.5313
345,6.531
346,6.5306
347,6.5302
348,6.5299
349,6.5295
350,6.5301
351,6.53
352,6.5299
353,6.5296
354,6.5292
355,6.5289
356,6.5285
357,6.5282
358,6.5279
359,6.5275
360,6.5272
361,6.5269
362,6.5266
363,6.5262
364,6.5259
365,6.5256
